date, pm25, pm10, no2
2025/11/1, 23, 43, 
2025/11/2, 38, 20, 
2025/11/3, 15, 9, 
2025/11/4, 17, 7, 8
2025/11/5, 15, 7, 8
2025/11/6, 12, 9, 7
2025/11/7, 17, 6, 6
2025/11/8, 21, 3, 1
2025/11/9, 10, 4, 4
2025/11/10, 14, 7, 7
2025/11/11, 23, 6, 12
2025/11/12, 15, 9, 3
2025/11/13, 26, , 
2025/10/1, 13, 19, 15
2025/10/2, 27, 10, 4
2025/10/3, 17, 8, 1
2025/10/4, 9, 4, 4
2025/10/5, 9, 7, 6
2025/10/6, 12, 5, 
2025/10/7, 18, 4, 
2025/10/8, 10, 2, 
2025/10/9, 10, 5, 
2025/10/10, 23, 6, 
2025/10/11, 18, 5, 
2025/10/12, 11, 3, 
2025/10/13, 10, 2, 
2025/10/14, 7, 2, 
2025/10/15, 7, 8, 
2025/10/16, 16, 3, 
2025/10/17, 8, 4, 
2025/10/18, 8, 4, 
2025/10/19, 11, 21, 
2025/10/20, 19, 34, 
2025/10/21, 30, 22, 
2025/10/22, 18, 10, 
2025/10/23, 16, 21, 
2025/10/24, 21, 7, 
2025/10/25, 9, 9, 
2025/10/26, 14, 4, 
2025/10/27, 12, 6, 
2025/10/28, 7, 26, 
2025/10/29, 24, 31, 
2025/10/30, 33, 36, 
2025/10/31, 39, 26, 
2025/7/1, 20, 13, 5
2025/7/2, 18, 12, 4
2025/7/3, 16, 9, 3
2025/7/4, 13, 4, 1
2025/7/5, 12, 4, 2
2025/7/6, 9, 6, 2
2025/7/7, 14, 13, 4
2025/7/8, 21, 15, 5
2025/7/9, 22, 13, 4
2025/7/10, 19, 10, 5
2025/7/11, 18, 9, 3
2025/7/12, 25, 13, 5
2025/7/13, 42, 18, 4
2025/7/14, 44, 19, 6
2025/7/15, 52, 18, 7
2025/7/16, 50, 20, 8
2025/7/17, 46, 15, 5
2025/7/18, 37, 13, 2
2025/7/19, 45, 13, 3
2025/7/20, 40, 13, 4
2025/7/21, 34, 15, 6
2025/7/22, 39, 16, 5
2025/7/23, 44, 17, 3
2025/7/24, 51, 9, 4
2025/7/25, 25, 5, 3
2025/7/26, 19, 6, 3
2025/7/27, 18, 8, 4
2025/7/28, 20, 5, 3
2025/7/29, 17, 46, 4
2025/7/30, 60, 10, 6
2025/7/31, 22, 12, 7
2025/8/1, 34, 5, 3
2025/8/2, 20, 6, 3
2025/8/3, 20, 5, 4
2025/8/4, 14, 4, 2
2025/8/5, 7, 7, 2
2025/8/6, 15, 5, 3
2025/8/7, 11, 9, 7
2025/8/8, 13, 6, 4
2025/8/9, 12, 4, 2
2025/8/10, 10, 4, 4
2025/8/11, 18, 7, 4
2025/8/12, 21, 11, 6
2025/8/13, 13, 15, 9
2025/8/14, 35, 11, 5
2025/8/15, 28, 6, 2
2025/8/16, 10, 5, 4
2025/8/17, 9, 10, 8
2025/8/18, 12, 9, 4
2025/8/19, 10, 10, 6
2025/8/20, 10, 3, 5
2025/8/21, 10, 3, 6
2025/8/22, 10, 6, 3
2025/8/23, 13, 6, 3
2025/8/24, 10, 7, 6
2025/8/25, 9, 10, 5
2025/8/26, 11, 15, 9
2025/8/27, 16, 14, 8
2025/8/28, 25, 16, 7
2025/8/29, 27, 6, 4
2025/8/30, 14, 5, 3
2025/8/31, 12, 10, 5
2025/9/1, 16, 9, 5
2025/9/2, 17, 11, 7
2025/9/3, 17, 8, 5
2025/9/4, 11, 13, 8
2025/9/5, 17, 8, 6
2025/9/6, 13, 10, 7
2025/9/7, 18, 12, 7
2025/9/8, 18, 12, 10
2025/9/9, 17, 19, 7
2025/9/10, 34, 11, 3
2025/9/11, 24, 6, 5
2025/9/12, 10, 4, 3
2025/9/13, 7, 4, 3
2025/9/14, 8, 6, 7
2025/9/15, 9, 9, 8
2025/9/16, 10, 6, 7
2025/9/17, 11, 11, 6
2025/9/18, 12, 9, 7
2025/9/19, 13, 6, 5
2025/9/20, 13, 4, 4
2025/9/21, 9, 3, 5
2025/9/22, 8, 2, 5
2025/9/23, 8, 6, 6
2025/9/24, 9, 10, 7
2025/9/25, 14, 10, 7
2025/9/26, 18, 9, 6
2025/9/27, 16, 7, 5
2025/9/28, 11, 8, 6
2025/9/29, 11, 15, 11
2025/9/30, 18, 11, 8
2025/4/1, 12, 44, 10
2025/4/2, 34, 30, 6
2025/4/3, 28, 9, 5
2025/4/4, 15, 24, 5
2025/4/5, 20, 12, 2
2025/4/6, 10, 31, 7
2025/4/7, 20, 28, 7
2025/4/8, 17, 12, 7
2025/4/9, 18, 4, 4
2025/4/10, 9, 3, 10
2025/4/11, 10, 10, 3
2025/4/12, 19, 23, 5
2025/4/13, 21, 30, 6
2025/4/14, 23, 48, 6
2025/4/15, 23, 24, 5
2025/4/16, 27, 19, 5
2025/4/17, 24, 15, 2
2025/4/18, 14, 16, 2
2025/4/19, 10, 10, 1
2025/4/20, 9, 29, 6
2025/4/21, 17, 17, 9
2025/4/22, 22, 22, 9
2025/4/23, 23, 47, 9
2025/4/24, 55, 45, 9
2025/4/25, 52, 34, 7
2025/4/26, 49, 33, 7
2025/4/27, 49, 11, 9
2025/4/28, 45, 3, 8
2025/4/29, 10, 15, 7
2025/4/30, 13, 12, 6
2025/5/1, 14, 4, 6
2025/5/2, 9, 5, 4
2025/5/3, 10, 15, 4
2025/5/4, 13, 5, 4
2025/5/5, 13, 17, 7
2025/5/6, 15, 24, 7
2025/5/7, 18, 8, 14
2025/5/8, 18, 18, 10
2025/5/9, 16, 19, 6
2025/5/10, 19, 19, 8
2025/5/11, 22, 30, 10
2025/5/12, 33, 45, 7
2025/5/13, 31, 23, 7
2025/5/14, 22, 26, 8
2025/5/15, 20, 15, 6
2025/5/16, 13, 20, 3
2025/5/17, 22, 15, 3
2025/5/18, 20, 32, 6
2025/5/19, 32, 40, 8
2025/5/20, 24, 6, 7
2025/5/21, 11, 5, 3
2025/5/22, 6, 9, 4
2025/5/23, 15, 4, 3
2025/5/24, 8, 9, 2
2025/5/25, 12, 6, 7
2025/5/26, 11, 14, 5
2025/5/27, 14, 14, 7
2025/5/28, 17, 11, 3
2025/5/29, 17, 12, 6
2025/5/30, 15, 6, 3
2025/5/31, 11, 8, 5
2025/6/1, 18, 8, 5
2025/6/2, 16, 13, 4
2025/6/3, 14, 12, 4
2025/6/4, 17, 16, 8
2025/6/5, 21, 15, 6
2025/6/6, 15, 11, 4
2025/6/7, 16, 9, 3
2025/6/8, 19, 7, 2
2025/6/9, 11, 7, 3
2025/6/10, 13, 6, 5
2025/6/11, 10, 8, 4
2025/6/12, 14, 15, 8
2025/6/13, 23, 15, 6
2025/6/14, 34, 18, 6
2025/6/15, 41, 7, 6
2025/6/16, 23, 7, 7
2025/6/17, 21, 6, 5
2025/6/18, 13, 6, 5
2025/6/19, 11, 5, 5
2025/6/20, 14, 5, 3
2025/6/21, 11, 8, 3
2025/6/22, 15, 12, 6
2025/6/23, 21, 9, 7
2025/6/24, 18, 12, 6
2025/6/25, 16, 9, 3
2025/6/26, 16, 12, 5
2025/6/27, 19, 10, 5
2025/6/28, 22, 4, 1
2025/6/29, 13, 6, 4
2025/6/30, 17, 7, 5
2025/1/1, 44, 5, 
2025/1/2, 14, 5, 
2025/1/3, 19, 2, 
2025/1/4, 9, 7, 
2025/1/5, 25, 10, 
2025/1/6, 36, 4, 
2025/1/7, 16, 11, 20
2025/1/8, 45, 14, 19
2025/1/9, 52, 9, 14
2025/1/10, 33, 6, 8
2025/1/11, 25, 5, 4
2025/1/12, 16, 8, 13
2025/1/13, 18, 6, 11
2025/1/14, 13, 3, 10
2025/1/15, 11, 6, 13
2025/1/16, 14, 8, 10
2025/1/17, 20, 13, 9
2025/1/18, 28, 4, 4
2025/1/19, 13, 7, 11
2025/1/20, 23, 7, 14
2025/1/21, 26, 6, 6
2025/1/22, 15, 6, 9
2025/1/23, 18, 7, 14
2025/1/24, 25, 5, 3
2025/1/25, 6, 12, 2
2025/1/26, 12, 33, 7
2025/1/27, 14, 27, 11
2025/1/28, 22, 22, 21
2025/1/29, 41, 17, 13
2025/1/30, 30, 5, 8
2025/1/31, 14, 8, 11
2025/2/1, 26, 6, 12
2025/2/2, 24, 4, 9
2025/2/3, 11, 7, 10
2025/2/4, 17, 4, 7
2025/2/5, 10, 8, 11
2025/2/6, 18, 21, 20
2025/2/7, 35, 20, 4
2025/2/8, 19, 5, 3
2025/2/9, 11, 12, 9
2025/2/10, 18, 18, 13
2025/2/11, 25, 25, 14
2025/2/12, 31, 17, 7
2025/2/13, 18, 11, 9
2025/2/14, 22, 14, 6
2025/2/15, 23, 7, 3
2025/2/16, 11, 4, 12
2025/2/17, 10, 4, 11
