date, pm25, pm10, no2
2025/11/1, 5, 28, 10
2025/11/2, 30, 11, 3
2025/11/3, 12, 10, 9
2025/11/4, 18, 5, 10
2025/11/5, 16, 8, 10
2025/11/6, 27, 9, 10
2025/11/7, 30, 6, 7
2025/11/8, 25, 2, 3
2025/11/9, 9, 6, 7
2025/11/10, 23, 11, 10
2025/11/11, 39, 7, 14
2025/11/12, 25, 4, 8
2025/11/13, 14, 5, 8
2025/11/14, 17, 2, 4
2025/11/15, 7, 3, 4
2025/11/16, 11, 4, 12
2025/11/17, 16, 1, 4
2025/11/18, 6, , 
2025/10/1, 10, 9, 9
2025/10/2, 13, 7, 1
2025/10/3, 18, 5, 
2025/10/4, 8, 1, 2
2025/10/5, 3, 3, 9
2025/10/6, 11, 5, 10
2025/10/7, 16, 5, 9
2025/10/8, 14, 3, 5
2025/10/9, 10, 6, 3
2025/10/10, 23, 4, 8
2025/10/11, 16, 3, 5
2025/10/12, 12, 3, 10
2025/10/13, 10, 1, 9
2025/10/14, 5, 2, 9
2025/10/15, 6, 5, 7
2025/10/16, 17, 2, 7
2025/10/17, 7, 3, 4
2025/10/18, 7, 3, 5
2025/10/19, 7, 12, 7
2025/10/20, 16, 14, 8
2025/10/21, 17, 12, 7
2025/10/22, 13, 9, 9
2025/10/23, 28, 9, 9
2025/10/24, 28, 5, 4
2025/10/25, 9, 4, 5
2025/10/26, 15, 4, 9
2025/10/27, 15, 3, 7
2025/10/28, 10, 14, 11
2025/10/29, 28, 15, 11
2025/10/30, 33, 8, 4
2025/10/31, 16, 4, 1
2025/7/1, 26, 9, 4
2025/7/2, 24, 7, 4
2025/7/3, 16, 7, 3
2025/7/4, 15, 3, 1
2025/7/5, 12, 1, 1
2025/7/6, 4, 6, 2
2025/7/7, 10, 10, 3
2025/7/8, 22, 12, 3
2025/7/9, 23, 11, 3
2025/7/10, 21, 7, 3
2025/7/11, 16, 6, 2
2025/7/12, 19, 10, 2
2025/7/13, 32, 15, 3
2025/7/14, 40, 17, 3
2025/7/15, 48, 17, 5
2025/7/16, 43, 13, 3
2025/7/17, 37, 12, 4
2025/7/18, 32, 13, 2
2025/7/19, 46, 14, 2
2025/7/20, 42, 9, 2
2025/7/21, 27, 10, 2
2025/7/22, 28, 16, 5
2025/7/23, 42, 18, 3
2025/7/24, 53, 10, 3
2025/7/25, 31, 7, 2
2025/7/26, 24, 7, 4
2025/7/27, 24, 7, 4
2025/7/28, 22, 7, 3
2025/7/29, 20, 5, 7
2025/7/30, 20, 7, 4
2025/7/31, 22, 9, 4
2025/8/1, 31, 5, 3
2025/8/2, 18, 6, 2
2025/8/3, 21, 5, 4
2025/8/4, 15, 3, 1
2025/8/5, 7, 4, 3
2025/8/6, 13, 4, 4
