date, pm25, pm10, o3, no2
2025/11/1, 9, 8, 20, 1
2025/11/2, 30, 5, 21, 
2025/11/3, 16, 4, 22, 1
2025/11/4, 13, 5, 20, 
2025/11/5, 18, 9, 11, 
2025/11/6, 34, 12, 6, 1
2025/11/7, 39, 9, 10, 
2025/11/8, 40, 5, 13, 
2025/11/9, 18, 3, 13, 
2025/11/10, 9, 3, 15, 1
2025/11/11, 12, 5, 12, 1
2025/11/12, 16, , , 
2025/10/1, 19, 5, 23, 1
2025/10/2, 21, 6, 25, 1
2025/10/3, 24, 7, 26, 1
2025/10/4, 26, 4, 23, 1
2025/10/5, 15, 4, 17, 
2025/10/6, 15, 6, 18, 1
2025/10/7, 18, 5, 15, 
2025/10/8, 15, 4, 21, 
2025/10/9, 12, 4, 18, 
2025/10/10, 13, 4, 25, 
2025/10/11, 12, 2, 25, 
2025/10/12, 6, 2, 22, 
2025/10/13, 6, 2, 22, 
2025/10/14, 6, 2, 21, 
2025/10/15, 7, 4, 25, 
2025/10/16, 12, 1, 24, 
2025/10/17, 5, 2, 19, 
2025/10/18, 7, 4, 16, 
2025/10/19, 15, 3, 28, 
2025/10/20, 11, 7, 28, 1
2025/10/21, 27, 20, 24, 2
2025/10/22, 67, 21, 15, 2
2025/10/23, 68, 11, 15, 2
2025/10/24, 45, 5, 17, 1
2025/10/25, 20, , , 
2025/10/27, 15, 6, 9, 2
2025/10/28, 21, 4, 10, 1
2025/10/29, 15, 5, 24, 1
2025/10/30, 17, 3, 20, 
2025/10/31, 9, 2, 24, 
2025/7/1, 12, 4, 26, 
2025/7/2, 14, 7, 29, 
2025/7/3, 24, 3, 25, 
2025/7/4, 9, 5, 22, 
2025/7/5, 18, 5, 16, 
2025/7/6, 18, 5, 22, 
2025/7/7, 18, 3, 25, 
2025/7/8, 13, 4, 26, 
2025/7/9, 13, 5, 29, 
2025/7/10, 18, 8, 26, 
2025/7/11, 30, 11, 17, 
2025/7/12, 39, 13, 17, 
2025/7/13, 44, 12, 29, 
2025/7/14, 46, 9, 23, 
2025/7/15, 34, 15, 23, 
2025/7/16, 51, 8, 28, 
2025/7/17, 25, 9, 40, 
2025/7/18, 28, 9, 39, 
2025/7/19, 30, 10, 38, 
2025/7/20, 34, 11, 38, 
2025/7/21, 38, 10, 39, 
2025/7/22, 36, 13, 29, 
2025/7/23, 45, 13, 39, 
2025/7/24, 46, 12, 44, 
2025/7/25, 42, 9, 30, 
2025/7/26, 36, , , 
2025/8/3, 26, 7, 32, 1
2025/8/4, 25, 7, 29, 1
2025/8/5, 19, 7, 26, 
2025/8/6, 18, 7, 26, 
2025/8/7, 20, 11, 38, 
2025/8/8, 33, 8, 25, 
2025/8/9, 28, 6, 26, 
2025/8/10, 20, 4, 25, 
2025/8/11, 9, 4, 26, 
2025/8/12, 13, 6, 29, 
2025/8/13, 16, 9, 28, 
2025/8/14, 22, 10, 48, 
2025/8/15, 27, 2, 26, 
2025/8/16, 5, 3, 25, 
2025/8/17, 7, 3, 21, 
2025/8/18, 11, 3, 22, 
2025/8/19, 8, 1, 20, 
2025/8/20, 5, 3, 18, 
2025/8/21, 8, 2, 20, 
2025/8/22, 5, 1, 19, 
2025/8/23, 4, 1, 20, 
2025/8/24, 4, 2, 17, 
2025/8/25, 5, 2, 18, 
2025/8/26, 6, 3, 20, 
2025/8/27, 9, 7, 27, 
2025/8/28, 23, 7, 28, 
2025/8/29, 26, 6, 25, 
2025/8/30, 21, 5, 22, 
2025/8/31, 19, 7, 25, 
2025/9/1, 29, 7, 29, 
2025/9/2, 26, 7, 25, 
2025/9/3, 23, 10, 30, 
2025/9/4, 38, 10, 28, 
2025/9/5, 38, 13, 23, 
2025/9/6, 44, 10, 17, 
2025/9/7, 31, 8, 24, 
2025/9/8, 27, 13, 30, 
2025/9/9, 38, 17, 26, 
2025/9/10, 51, 16, 31, 
2025/9/11, 50, 10, 26, 
2025/9/12, 31, 6, 26, 
2025/9/13, 17, 7, 29, 
2025/9/14, 23, 6, 28, 
2025/9/15, 19, 5, 26, 
2025/9/16, 17, 5, 18, 
2025/9/17, 14, 7, 21, 
2025/9/18, 20, 8, 19, 
2025/9/19, 24, 7, 20, 
2025/9/20, 23, 11, 27, 
2025/9/21, 36, 2, 24, 
2025/9/22, 5, 2, 24, 
2025/9/23, 6, 2, 23, 
2025/9/24, 6, 3, 22, 
2025/9/25, 8, 4, 15, 
2025/9/26, 11, 5, 13, 
2025/9/27, 15, 2, 23, 1
2025/9/28, 8, 5, 22, 
2025/9/29, 14, 4, 18, 
2025/9/30, 14, 5, 18, 1
2025/4/1, 8, 3, 31, 
2025/4/2, 9, 4, 41, 
2025/4/3, 9, 2, 41, 
2025/4/4, 7, 3, 42, 
2025/4/5, 7, 2, 33, 
2025/4/6, 7, 1, 37, 
2025/4/7, 4, 3, 36, 
2025/4/8, 8, 3, 39, 
2025/4/9, 10, 4, 37, 
2025/4/10, 10, 2, 40, 
2025/4/11, 5, 3, 38, 
2025/4/12, 10, 4, 37, 
2025/4/13, 18, 11, 40, 
2025/4/14, 37, 5, 38, 
2025/4/15, 13, 14, 36, 1
2025/4/16, 44, 13, 21, 1
2025/4/17, 44, 11, 18, 1
2025/4/18, 41, 3, 31, 
2025/4/19, 14, 6, 30, 
2025/4/20, 23, 3, 23, 
2025/4/21, 13, 4, 19, 
2025/4/22, 16, 4, 24, 
2025/4/23, 17, 2, 32, 
2025/4/24, 6, 1, 35, 
2025/4/25, 5, 2, 42, 
2025/4/26, 7, 4, 41, 
2025/4/27, 12, 8, 39, 
2025/4/28, 25, 1, 33, 
2025/4/29, 3, 2, 31, 
2025/4/30, 8, 6, 32, 
2025/5/1, 25, 5, 40, 
2025/5/2, 17, 1, 32, 
2025/5/3, 3, 2, 28, 
2025/5/4, 6, 2, 32, 
2025/5/5, 7, 2, 32, 
2025/5/6, 8, 2, 34, 
2025/5/7, 9, 2, 35, 
2025/5/8, 9, 2, 32, 
2025/5/9, 9, 3, 30, 
2025/5/10, 14, 3, 35, 
2025/5/11, 14, 4, 34, 
2025/5/12, 17, 6, 37, 
2025/5/13, 20, 5, 63, 
2025/5/14, 13, 4, 34, 
2025/5/15, 11, 4, 34, 
2025/5/16, 14, 3, 31, 
2025/5/17, 12, 5, 32, 
2025/5/18, 15, 4, 35, 
2025/5/19, 14, 4, 32, 
2025/5/20, 12, 3, 27, 
2025/5/21, 10, 6, 23, 
2025/5/22, 24, 4, 29, 
2025/5/23, 14, 3, 35, 
2025/5/24, 9, 7, 38, 
2025/5/25, 26, 7, 35, 
2025/5/26, 23, 7, 37, 
2025/5/27, 19, 5, 33, 
2025/5/28, 18, 5, 32, 
2025/5/29, 18, 5, 31, 
2025/5/30, 13, 2, 28, 
2025/5/31, 5, 4, 31, 
2025/6/1, 10, 7, 35, 
2025/6/2, 20, 7, 33, 
2025/6/3, 18, 12, 41, 
2025/6/4, 37, 10, 36, 
2025/6/5, 32, 7, 36, 
2025/6/6, 25, 6, 29, 
2025/6/7, 14, 4, 31, 
2025/6/8, 13, 4, 29, 
2025/6/9, 15, , , 
2025/6/11, 40, 5, 25, 
2025/6/12, 14, 2, 26, 
2025/6/13, 7, 5, 33, 
